index,name,generation,evolves_from,abilities,desc,type1,type2,total,hp,atk,def,spatk,spdef,speed,height,weight,rank
1,bulbasaur,generation-i,nothing,overgrow chlorophyll ,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,grass,poison,318,45,49,49,65,65,45,7,69,ordinary
2,ivysaur,generation-i,bulbasaur,overgrow chlorophyll ,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",grass,poison,405,60,62,63,80,80,60,10,130,ordinary
3,venusaur,generation-i,ivysaur,overgrow chlorophyll ,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,grass,poison,525,80,82,83,100,100,80,20,1000,ordinary
4,charmander,generation-i,nothing,blaze solar-power ,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",fire,None,309,39,52,43,60,50,65,6,85,ordinary
5,charmeleon,generation-i,charmander,blaze solar-power ,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",fire,None,405,58,64,58,80,65,80,11,190,ordinary
6,charizard,generation-i,charmeleon,blaze solar-power ,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,fire,flying,534,78,84,78,109,85,100,17,905,ordinary
7,squirtle,generation-i,nothing,torrent rain-dish ,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",water,None,314,44,48,65,50,64,43,5,90,ordinary
8,wartortle,generation-i,squirtle,torrent rain-dish ,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",water,None,405,59,63,80,65,80,58,10,225,ordinary
9,blastoise,generation-i,wartortle,torrent rain-dish ,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,water,None,530,79,83,100,85,105,78,16,855,ordinary
10,caterpie,generation-i,nothing,shield-dust run-away ,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,bug,None,195,45,30,35,20,20,45,3,29,ordinary
11,metapod,generation-i,caterpie,shed-skin ,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",bug,None,205,50,20,55,25,25,30,7,99,ordinary
12,butterfree,generation-i,metapod,compound-eyes tinted-lens ,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",bug,flying,395,60,45,50,90,80,70,11,320,ordinary
13,weedle,generation-i,nothing,shield-dust run-away ,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",bug,poison,195,40,35,30,20,20,50,3,32,ordinary
